catchment_id,replicate,NSE_cal,logNSE_cal,KGE_cal,NSE_val,logNSE_val,KGE_val,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,parprecip_corr_factor
54032,7,0.722741444,0.597012075,0.794726801,0.714254016,-0.057037947,0.851327504,1.763682679,267.891567,0.75930957,0.289674784,0.10545604,0.336063982,3.834832588,49.85391698,3.51261669,4.720365028,0.051446555,0.108683049,1.583495187,1.629988815,1.070586945
54034,10,0.59422503,0.279815423,0.430645442,0.610424738,0.037600243,0.505712744,1.807098918,322.1594729,0.432661427,0.46087162,0.130056724,0.491290587,3.596752348,98.61935445,1.794694434,4.25601052,0.077096405,0.060963252,0.152399987,2.287405944,1.160671583
54036,5,0.623493037,0.122656942,0.651408614,0.527944564,-0.488797697,0.649975438,1.819218602,441.4594287,0.239239312,0.274133661,0.048936959,0.616822928,2.710585986,12.39573174,3.234945342,4.998103735,0.042522572,0.046908349,0.736280292,0.20004313,1.050979905
54038,3,0.858170138,0.738635166,0.897897123,0.85953524,0.309321853,0.92576615,3.308607877,87.68920966,0.464319464,0.457113754,0.077044378,0.506394494,4.45094244,47.74766865,0.333993926,1.388058723,0.001249557,0.156208879,0.003923632,2.665103208,1.045649726
54044,2,0.423028366,-0.963267256,0.704367143,0.333780248,-4.340711039,0.614309839,1.519328395,467.2040849,0.824814527,0.230648486,0.060063281,0.360152726,3.831847461,48.06390753,3.178294025,4.034824123,0.026492634,0.119269114,1.997931052,0.668796247,1.003448753
54048,9,0.497231659,0.466692462,0.494072543,0.476402558,0.043635851,0.535549855,1.582314305,168.8347968,0.439978312,0.282521467,0.160977874,0.354591384,5.458315808,7.564087255,2.327611399,1.429794822,0.067998864,0.026876102,2.11266109,0.450700375,1.033079208
54049,9,0.536432502,0.285595889,0.677088075,0.540745931,-0.25144642,0.6294904,1.722752611,383.5141285,0.235075975,0.461651718,0.046635455,0.217800404,0.393031491,81.66535531,0.688278919,0.629911082,0.092012681,0.099391548,1.742301675,0.54568702,1.055046979
54052,10,0.547801864,0.018638032,0.716647083,0.592321164,-1.017739226,0.730994772,1.113826118,595.1363824,0.938075808,0.464866529,0.104621296,0.279076721,1.575362342,9.061768299,1.806870083,4.729556633,0.035473363,0.037444223,0.746396408,5.286868447,1.037702892
54057,5,0.691668653,0.511005743,0.732276999,0.394609365,-0.769207048,0.628272525,1.775376098,196.9746258,0.180199866,0.492408256,0.007201613,0.330759334,0.353460432,83.17397144,3.99643936,3.636543756,0.053078767,0.157220195,1.44148478,3.161583538,1.081307393
54063,2,0.590126198,-0.013808743,0.481979871,0.455440599,-1.094189322,0.560230698,1.017497007,478.2860718,0.850276392,0.317188778,0.029937612,0.650521515,1.732441835,9.466603572,2.283670393,3.898156626,0.027508125,0.006396671,0.33845402,1.39700976,1.178103231
